;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;102730020;09/30/2010;06:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12271252842076, -87.94799133527613];2819 W CARMEN AV
1;102730063;09/30/2010;12:08 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09147349968056, -87.93437618286151];4101 N 19TH ST
2;102720062;09/29/2010;12:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WA
3;102710128;09/28/2010;06:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939246768411, -87.965163];4210 W SILVER SPRING DR
4;102690080;09/26/2010;10:24 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092044214265115, -87.9381864190665];4128 N 21ST ST
5;102670069;09/24/2010;10:22 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12357607576894, -87.95144694021563];5839 N TEUTONIA AV
6;102670092;09/24/2010;02:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090892717179315, -87.93195638631792];4060 N 17TH ST
7;102660008;09/23/2010;01:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10505894754459, -87.9441591503258];4825 N 25TH ST
8;102660078;09/23/2010;01:32 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.11695641326679, -87.95750483524746];5460 N 36TH ST
9;102660140;09/23/2010;05:59 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
10;102660152;09/23/2010;06:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111936464365876, -87.96539135789716];4208 W VILLARD AV
11;102640026;09/21/2010;03:37 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09073153427781, -87.93568759925536];4049 N 19TH PL
12;102640027;09/21/2010;03:37 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09142751067582, -87.93648419608748];1975 W FIEBRANTZ AV
13;102640193;09/21/2010;09:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08947346047075, -87.92647247155058];1216 W CAPITOL DR
14;102640202;09/21/2010;07:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10170267055227, -87.9491406503258];4637 N 29TH ST
15;102630049;09/20/2010;10:40 AM;4.0;MOTOR VEHICLE THEFT;SIMPLE ASSAULT;;;;[43.12539011007196, -87.96608826270526];5924 N SHERMAN BL #6
16;102620072;09/19/2010;11:32 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127036301362956, -87.96243325518705];6021 N 40TH ST
17;102620143;09/19/2010;07:00 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099568664723876, -87.94791585356933];4524 N 28TH ST
18;102600044;09/17/2010;07:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09741716180969, -87.94921635356933];4408 N 29TH ST
19;102600076;09/17/2010;12:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.122366, -87.96462013200394];5741 N 42ND ST
20;102590143;09/16/2010;10:04 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10321366472388, -87.95164635356933];4730 N 31ST ST
21;102580045;09/15/2010;09:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10027071717931, -87.94667244460172];4558 N 27TH ST
22;102580199;09/15/2010;11:38 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11934139107844, -87.95211259117663];3124 W SILVER SPRING DR
23;102560100;09/13/2010;01:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10209101165677, -87.93409293349322];4680 N 19TH ST
24;102540060;09/11/2010;09:44 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10453946047074, -87.94269055536961];2430 W HAMPTON AV
25;102540187;09/11/2010;11:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09459091035259, -87.93924337910455];4214 N 22ND ST
26;102520088;09/09/2010;02:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093143282820705, -87.92698107372014];4177 N 13TH ST
27;102490065;09/06/2010;02:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11864941909516, -87.95627864643068];5561 N 35TH ST
28;102470068;09/04/2010;12:30 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099768928385984, -87.94422359120529];4539 N TEUTONIA AV
29;102440138;09/01/2010;08:18 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10654341326679, -87.9589553280341];4900 N 37TH ST
30;102710194;09/28/2010;11:28 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.063812586733235, -87.9841790809335];2459 N 57TH ST
31;102700043;09/27/2010;09:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07220058673323, -87.97487007372014];2925 N 49TH ST
32;102690034;09/26/2010;04:13 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06541870358931, -87.98220902677596];5500 W LISBON AV
33;102690059;09/26/2010;07:36 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.028315832361926, -87.99486541185313];318 S 66TH ST
34;102690071;09/26/2010;09:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03131449956733, -87.99449458673323];6527 W FAIRVIEW AV
35;102680072;09/25/2010;10:17 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02733758881808, -87.98535793498854];437 S HAWLEY RD
36;102680142;09/25/2010;05:01 PM;7.0;MOTOR VEHICLE THEFT;ALL OTHER LARCENY;;;;[43.073198968636405, -87.97732486799605];2972 N 51ST ST
37;102660127;09/23/2010;05:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.084751919787635, -88.00392499526814];3700 N 73RD ST
38;102620062;09/19/2010;10:31 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08273039745507, -87.99816468218036];6860 W APPLETON AV
39;102600041;09/17/2010;08:51 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.056476161809684, -87.97244113200395];2023 N 47TH ST
40;102600055;09/17/2010;09:58 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05903316763806, -87.97998159593713];2187 N 53RD ST
41;102600132;09/17/2010;05:58 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03625059748571, -87.95764124864836];3500 W CLYBOURN ST
42;102600159;09/17/2010;08:45 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0246745323159, -87.98351894018697];655 S OAK PARK CT
43;102590037;09/16/2010;09:34 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03622946047074, -87.96465072300768];4010 W CLYBOURN ST
44;102570038;09/14/2010;10:28 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.049474748542906, -87.9735339190665];1428 N 48TH ST
45;102560060;09/13/2010;07:04 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.033256664723865, -87.96140012421367];229 N 38TH ST
46;102550076;09/12/2010;11:21 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04594952264971, -87.96621247446477];4120 W MARTIN DR
47;102540052;09/11/2010;09:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08092834306641, -87.99671773656902];6766 W APPLETON AV
48;102530066;09/10/2010;11:25 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03628455395597, -87.99032874992787];6205 W BLUE MOUND RD
49;102490056;09/06/2010;01:00 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
50;102480012;09/05/2010;01:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07231599417162, -87.97734286799604];2930 N 51ST ST
51;102450039;09/02/2010;08:29 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0510450047985, -87.9864541082603];1541 N 59TH ST
52;102450107;09/02/2010;03:38 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.088319167638076, -87.9983180809335];3909 N 69TH ST
53;102430031;09/01/2010;01:27 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08244239745509, -87.99793472603744];6836 W APPLETON AV
54;102440074;09/01/2010;12:43 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03396732944776, -87.95776912089545];305 N 35TH ST
55;102620170;09/19/2010;09:48 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.992021460470745, -87.98942308673323];6108 W STACK DR
56;102720046;09/29/2010;09:38 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.001406167638066, -87.92728159925535];2367 S 12TH ST
57;102720065;09/29/2010;12:11 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.000307329447736, -87.92361347013696];2442 S 9TH PL
58;102720101;09/29/2010;03:47 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.019025539529245, -87.92775008381903];1231 W SCOTT ST
59;102700157;09/27/2010;06:53 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00758413778188, -87.92702679258737];2036 S 12TH ST
60;102700198;09/27/2010;10:52 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02018615799562, -87.92405265799562];1000 W WASHINGTON ST
61;102690030;09/26/2010;03:31 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02204227699232, -87.93681956650677];829 S 19TH ST
62;102690136;09/26/2010;04:40 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02425249321934, -87.92485183236194];1028 W PIERCE ST
63;102690169;09/26/2010;08:55 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.999489670552265, -87.91889152596791];2489 S 6TH ST
64;102680113;09/25/2010;02:40 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01434295654488, -87.91679623578683];500 W LAPHAM BL
65;102660021;09/23/2010;04:20 AM;1.0;MOTOR VEHICLE THEFT;ALL OTHER LARCENY;;;;[43.0283580047032, -87.90709838138358];315 S WATER ST
66;102660037;09/23/2010;09:18 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.003810257285465, -87.92587000822297];2235 S 11TH ST
67;102660049;09/23/2010;10:22 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02308252842077, -87.93110947293557];1515 W NATIONAL AV
68;102660081;09/23/2010;01:46 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01543745045876, -87.91846151543632];1523 S 6TH ST
69;102640213;09/21/2010;11:46 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02290828864909, -87.90984799711447];809 S BARCLAY ST
70;102620109;09/19/2010;02:49 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.017053529863055, -87.92837983236194];1310 W GREENFIELD AV
71;102620160;09/19/2010;08:31 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.016488491257434, -87.9225254662418];1422 S 9TH ST
72;102610144;09/18/2010;05:32 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00224232944774, -87.92599494460173];2324 S 11TH ST
73;102600061;09/17/2010;10:36 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0169631453947, -87.93802516038777];1400 S 20TH ST
74;102560062;09/13/2010;10:25 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0258859686364, -87.91101396681871];540 S 1ST ST
75;102550091;09/12/2010;01:38 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02009152120741, -87.93195316763806];1551 W WASHINGTON ST
76;102530028;09/10/2010;07:18 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02217747489748, -87.91784116763806];522 W WALKER ST
77;102530110;09/10/2010;06:00 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00733745045878, -87.92970798990112];2041 S 14TH ST
78;102530166;09/10/2010;08:54 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.023179838008645, -87.92681116199134];1201 W NATIONAL AV
79;102520024;09/09/2010;07:31 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01811911518263, -87.93064106650678];1243 S 15TH ST
80;102490071;09/06/2010;01:41 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015454214265105, -87.92394551731225];1522-A S 10TH ST
81;102490086;09/06/2010;04:45 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01840775437128, -87.92401003707641];1227 S 10TH ST
82;102490121;09/06/2010;07:50 PM;2.0;SIMPLE ASSAULT;MOTOR VEHICLE THEFT;;;;[43.02117447157924, -87.9232725];920-B W MINERAL ST
83;102470038;09/04/2010;07:40 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.014370442408676, -87.9168040175138];1575 S 5TH ST
84;102470117;09/04/2010;05:51 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00372771717929, -87.93112548456367];2240 S 15TH ST
85;102730024;09/30/2010;08:24 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.93538141326678, -87.93673499509525];6038 S 18TH ST
86;102710133;09/28/2010;07:38 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.93337090766372, -87.94912643883524];6136 S 27TH ST
87;102490029;09/06/2010;08:56 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9290959550464, -87.93032762790632];6331 S 13TH ST
88;102490030;09/06/2010;08:56 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9290959550464, -87.93032762790632];6331 S 13TH ST
89;102490040;09/06/2010;09:25 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.930343523803536, -87.92759313918864];1200 W COLLEGE AV
90;102730030;09/30/2010;08:55 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9916438779825, -87.90613842754207];325 E DEWEY PL
91;102720025;09/29/2010;06:06 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98835748600598, -87.90509305536962];356 E OKLAHOMA AV
92;102700158;09/27/2010;07:00 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.988627173466455, -87.92030954428976];3067 S 7TH ST
93;102640066;09/21/2010;10:08 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98515141326678, -87.92029493738835];3260 S 7TH ST
94;102620121;09/19/2010;04:10 PM;6.0;MOTOR VEHICLE THEFT;;;;;[43.002921486149255, -87.9086225111085];162 E LINCOLN AV
95;102650098;09/19/2010;01:31 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99311711518263, -87.92260054097154];2821 S 9TH ST
96;102590151;09/16/2010;10:34 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99483386567104, -87.92370911269467];2740 S 9TH PL
97;102570084;09/14/2010;02:56 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98720341326677, -87.92879342627985];3142 S 13TH ST
